pi_Time1	pi_Time2	pi_Time3	pi_Present	pi_Anadyr	pi_Cook	pi_Bristol
0.3622208	0.350193	0.3189991	0.3570835	0.3140165	0.3195347	0.3323171
0.308518	0.3301622	0.3136359	0.3242448	0.3393198	0.2676341	0.3270207
0.2922105	0.3411937	0.3157047	0.306983	0.3163346	0.2630115	0.3512645
0.3619321	0.326946	0.2967606	0.3435412	0.3241005	0.2837234	0.3771635
0.3636414	0.3556121	0.3560446	0.359324	0.3081729	0.3052426	0.3291598
0.3187152	0.3184372	0.3482528	0.3443793	0.3128153	0.2972042	0.3084005
0.2940595	0.3204404	0.3168502	0.3106799	0.3389496	0.3184946	0.3194321
0.3082553	0.3578364	0.3160971	0.3484372	0.3203712	0.3084375	0.320682
0.3717606	0.3675819	0.368138	0.3618884	0.3515671	0.3141058	0.3417226
0.3197898	0.3016005	0.3171087	0.3020533	0.2510549	0.3195552	0.2994883
0.3219261	0.3295511	0.3257664	0.3092242	0.337565	0.2876153	0.3365463
0.3553947	0.3537631	0.3583001	0.3817916	0.355777	0.3106277	0.3451686
0.2971084	0.3479076	0.3468962	0.3290653	0.3224948	0.3404351	0.3128184
0.3311278	0.3059498	0.3450241	0.3127278	0.3051549	0.2748598	0.329319
0.3472221	0.3093023	0.3608194	0.320745	0.3366869	0.3416991	0.3179624
0.3510992	0.3215162	0.2966086	0.3450295	0.3576302	0.3405198	0.3430948
0.363725	0.3624049	0.3551626	0.3460175	0.3726244	0.3518934	0.3540152
0.3448158	0.3529119	0.3485661	0.343515	0.372551	0.3169745	0.332108
0.3934369	0.3232304	0.3439363	0.3050497	0.3430114	0.3211506	0.3042894
0.337638	0.3465713	0.3212782	0.3110327	0.3400052	0.2698163	0.3327102
0.3190772	0.3281865	0.3303815	0.3430984	0.3486877	0.310429	0.3278115
0.2653961	0.3238839	0.3277263	0.3718392	0.3006638	0.319481	0.3556697
0.2916356	0.3555969	0.3746225	0.3564825	0.3885205	0.3391342	0.328471
0.3203268	0.3528628	0.3385944	0.3450309	0.3226671	0.2803599	0.3365413
0.2874319	0.3594972	0.3448683	0.3689665	0.3330423	0.2724086	0.3257108
0.3385729	0.3347949	0.3478205	0.3157387	0.3619951	0.2925502	0.3236237
0.3331252	0.3507903	0.3589775	0.3354875	0.3677347	0.3448725	0.3298992
0.3330463	0.3340125	0.336593	0.3623038	0.3180312	0.2830376	0.3424844
0.3107678	0.3141955	0.3334596	0.3041887	0.3048361	0.3851315	0.3140207
0.2751564	0.3214888	0.3061315	0.316087	0.3140466	0.3028422	0.3145114
0.349804	0.3673795	0.3027913	0.3389903	0.3537218	0.3405848	0.3444267
0.3428604	0.3497143	0.3508768	0.3404511	0.32031	0.33866	0.3624916
0.3740201	0.3091992	0.3276455	0.3379712	0.3177156	0.3295608	0.3275173
0.3310861	0.3225009	0.3138236	0.3341208	0.3491732	0.2893615	0.3180406
0.3500262	0.3596779	0.3017968	0.3173184	0.3284165	0.2949758	0.3291631
0.3845706	0.3678199	0.3094785	0.3217011	0.3509839	0.3078078	0.3063786
0.3591468	0.3499217	0.3431417	0.3278784	0.3418035	0.3361519	0.3441904
0.2857236	0.3378664	0.3497264	0.3392775	0.3063033	0.2951762	0.3382139
0.3455895	0.3335893	0.3384978	0.3181366	0.3267835	0.3001417	0.3205448
0.3156346	0.3167557	0.3209971	0.3324412	0.3127162	0.2394213	0.2912438
0.3602964	0.3364029	0.3464911	0.3183379	0.3308526	0.3088755	0.3714204
0.3062319	0.320259	0.3603044	0.3257797	0.315223	0.3197641	0.3345999
0.3008567	0.3346899	0.3309687	0.3076616	0.3243449	0.3025298	0.321831
0.2723954	0.3155046	0.3206207	0.3164348	0.3434864	0.3249224	0.346192
0.3347189	0.2825747	0.2924734	0.3085607	0.3363654	0.3064448	0.3093049
0.3547112	0.3410309	0.3320019	0.31949	0.3493006	0.3203994	0.3378705
0.348575	0.3267802	0.329036	0.3331699	0.332097	0.3207077	0.3385778
0.3072262	0.3140855	0.3395461	0.3449151	0.3276898	0.3137203	0.3088735
0.3094208	0.3450051	0.3501701	0.3651803	0.3484221	0.3253102	0.3696921
0.3436555	0.3324236	0.3409595	0.3416528	0.3339421	0.3204274	0.3121892
0.2778597	0.3396253	0.2968206	0.326844	0.3084028	0.310689	0.3193521
0.3050202	0.3498035	0.3156755	0.3334608	0.3472251	0.292852	0.3538218
0.3472817	0.3506131	0.3447457	0.3393822	0.3292523	0.3191296	0.3240193
0.2992948	0.3521787	0.3650533	0.3450984	0.3408588	0.320688	0.3453583
0.3474268	0.3340253	0.3362223	0.3450324	0.3521534	0.3316323	0.3702963
0.3043033	0.3352797	0.342179	0.315226	0.3373333	0.3138357	0.33674
0.3057157	0.3269519	0.3364691	0.3471423	0.3469152	0.3415825	0.3248136
0.4240251	0.3265521	0.3548595	0.3025591	0.3325169	0.3373464	0.3398275
0.3522443	0.3698444	0.3521685	0.3347668	0.3658083	0.2907136	0.369867
0.3847919	0.3274712	0.3459091	0.3453407	0.349525	0.3205113	0.3627899
0.3136283	0.2810208	0.3330215	0.3273934	0.317134	0.2987522	0.3227875
0.3541339	0.3167724	0.330458	0.3197604	0.3012394	0.3267423	0.2885081
0.282861	0.3270611	0.2935602	0.3343451	0.3147155	0.3273131	0.3201296
0.365125	0.3639617	0.3409681	0.3674347	0.3569312	0.3250199	0.366317
0.3510414	0.3437415	0.3249449	0.3661169	0.3363388	0.2762864	0.3481708
0.3813692	0.3390617	0.342261	0.3625433	0.3078727	0.304978	0.3349013
0.3333891	0.3437965	0.3379544	0.3444795	0.3402258	0.2908125	0.3610835
